Peak	Transcription_Unit	n_motifs	S_N_ratio	paper_distance_to_tss	TU_gene_parse	mapping_status	matched_locus_tag	matched_gene	matched_start	matched_end	matched_strand	matched_tss	computed_distance_bp
P95	ygfK-ssnA	1	4.07	-126.5	ygfk+ssna	mapped_TU_constrained_paper_distance	b2878	ygfK	3014082	3017180	+	3014082.0	194.5
P96	hybOABCDEFG	1	17.1	-129	hybo+hyba+hybb+hybc+hybd+hybe+hybf+hybg	mapped_TU_constrained_paper_distance	b2997	hybO	3143165	3144283	-	3144283.0	231.0
P97	exbBD	2	10.67	-61.5	exbb+exbd	mapped_TU_constrained_paper_distance	b3006	exbB	3149272	3150006	-	3150006.0	91.5
P98	yqjH	1	150.97	-1	yqjh	mapped_TU_constrained_paper_distance	b3070	yqjH	3213749	3214513	-	3214513.0	48.0
P99	yqjH	1	171.63	-20	yqjh	mapped_TU_constrained_paper_distance	b3070	yqjH	3213749	3214513	-	3214513.0	67.0
P100	yhaJ	1	3.7	35	yhaj	mapped_TU_constrained_paper_distance	b3105	yhaJ	3251340	3252236	-	3252236.0	12.0
P102	yrbL	1	4.27	-104	yrbl	mapped_TU_constrained_paper_distance	b3207	yrbL	3346474	3347106	+	3346474.0	135.0
P105	ompR	1	2.9	-35	ompr	mapped_TU_constrained_paper_distance	b3405	ompR	3533887	3534606	-	3534606.0	206.0
P106	feoABC	3	25.3	-5	feoa+feob+feoc	mapped_TU_constrained_paper_distance	b3408	feoA	3538185	3538412	+	3538185.0	111.0
P108	ryhB	3	254.23	-1.5	ryhb	mapped_TU_constrained_paper_distance	b4451	ryhB	3578950	3579039	-	3579039.0	1.5
P109	ryhB	3	273.93	-21	ryhb	mapped_TU_constrained_paper_distance	b4451	ryhB	3578950	3579039	-	3579039.0	21.0
P111	yhhK	1	5.23	-5.5	yhhk	mapped_TU_constrained_paper_distance	b3459	yhhK	3596007	3596390	+	3596007.0	161.5
P117	emrD	1	4.6	-7	emrd	mapped_TU_constrained_paper_distance	b3673	emrD	3851945	3853129	+	3851945.0	84.0
P118	rmuC	1	2.3	-	rmuc	mapped_TU_constrained_primary_TSS	b3832	rmuC	4015356	4016783	+	4015356.0	14.0
P123	sodA	3	68.73	-53	soda	mapped_TU_constrained_paper_distance	b3908	sodA	4098833	4099453	+	4098833.0	104.0
P124	sodA	3	64.13	-46	soda	mapped_TU_constrained_paper_distance	b3908	sodA	4098833	4099453	+	4098833.0	97.0
P125	cdh	1	1.73	-61.5	cdh	mapped_TU_constrained_paper_distance	b3918	cdh	4107953	4108708	+	4107953.0	84.5
P126	zapB	1	2.93	148	zapb	mapped_TU_constrained_paper_distance	b3928	zapB	4116538	4116783	+	4116538.0	19.0
P127	yjbJ	1	2.87	-	yjbj	mapped_TU_constrained_primary_TSS	b4045	yjbJ	4257260	4257469	+	4257260.0	26.5
P133	fecABCDE	2	8.2	-12.5	feca+fecb+fecc+fecd+fece	mapped_TU_constrained_paper_distance	b4291	fecA	4512376	4514700	-	4514700.0	62.5
P134	fecIR	2	35.57	0	feci+fecr	mapped_TU_constrained_paper_distance	b4293	fecI	4515737	4516258	-	4516258.0	47.0
P135	fecIR	2	30.07	-19	feci+fecr	mapped_TU_constrained_paper_distance	b4293	fecI	4515737	4516258	-	4516258.0	66.0
P137	yjhIH	1	4.53	-	yjhi+yjhh	mapped_TU_constrained_primary_TSS	b4299	yjhI	4523038	4523826	-	4523826.0	147.5
P138	uxuAB	1	1.53	-19	uxua+uxub	mapped_TU_constrained_paper_distance	b4322	uxuA	4549659	4550843	+	4549659.0	137.0
P139	yjiT	1	51.0	-170	yjit	mapped_TU_constrained_paper_distance	b4342	yjiT	4570437	4571954	+	4570437.0	222.0
P140	yjiT	1	41.3	-150	yjit	mapped_TU_constrained_paper_distance	b4342	yjiT	4570437	4571954	+	4570437.0	202.0
P141	fhuF	4	254.4	-6	fhuf	mapped_TU_constrained_paper_distance	b4367	fhuF	4602898	4603686	-	4603686.0	37.0
P142	fhuF	4	54.7	-51	fhuf	mapped_TU_constrained_paper_distance	b4367	fhuF	4602898	4603686	-	4603686.0	82.0
P143	yjjZ	4	76.27	-13.5	yjjz	mapped_TU_constrained_paper_distance	b4567	yjjZ	4603827	4604063	+	4603827.0	40.5
P144	yjjZ	3	64.43	11	yjjz	mapped_TU_constrained_paper_distance	b4567	yjjZ	4603827	4604063	+	4603827.0	16.0
