Peak	Transcription_Unit	n_motifs	S_N_ratio	paper_distance_to_tss	TU_gene_parse	mapping_status	matched_locus_tag	matched_gene	matched_start	matched_end	matched_strand	matched_tss	computed_distance_bp	replete_rep1_cpm	replete_rep2_cpm	starve_rep1_cpm	starve_rep2_cpm	replete_mean_cpm	starve_mean_cpm	log2FC
P19	fepB	1	91.97	11.5	fepb	mapped_TU_constrained_paper_distance	b0592	fepB	622777	623733	-	623733.0	205.5	2864.24231019754	1959.7492537526134	21848.217200623214	20493.141706222723	2411.9957819750766	21170.67945342297	3.1332384175741783
P20	fepB	1	93.33	16	fepb	mapped_TU_constrained_paper_distance	b0592	fepB	622777	623733	-	623733.0	233.0	2864.24231019754	1959.7492537526134	21848.217200623214	20493.141706222723	2411.9957819750766	21170.67945342297	3.1332384175741783
P21	entCEBAH	3	39.83	-5	entc+ente+entb+enta+enth	mapped_TU_constrained_paper_distance	b0593	entC	624108	625283	+	624108.0	59.0	4251.156631296441	3212.2335286709226	110993.49449203865	82740.70910438977	3731.6950799836823	96867.10179821421	4.697732104983256
P22	entCEBAH	2	82.63	26.5	entc+ente+entb+enta+enth	mapped_TU_constrained_paper_distance	b0593	entC	624108	625283	+	624108.0	27.5	4251.156631296441	3212.2335286709226	110993.49449203865	82740.70910438977	3731.6950799836823	96867.10179821421	4.697732104983256
P25	nagBACD	1	1.67	14	nagb+naga+nagc+nagd	mapped_TU_constrained_paper_distance	b0676	nagC	699597	700817	-	700817.0	257.0	13305.453663313509	12804.10286130279	22137.173939393404	21587.048162841005	13054.77826230815	21862.111051117205	0.7438102464504218
P28	gpmA	2	24.47	-14	gpma	mapped_TU_constrained_paper_distance	b0755	gpmA	786066	786818	-	786818.0	51.0	90126.06829307762	82912.22634379455	428199.4261563357	343214.70338691556	86519.1473184361	385707.0647716256	2.1564012846978495
P29	fiu-ybiX	2	63.3	-16	fiu+ybix	mapped_TU_constrained_paper_distance	b0805	fiu	838472	840754	-	840754.0	133.0	7447.960591395508	6580.277930019304	58783.98404633217	39650.69328196779	7014.119260707406	49217.33866414998	2.810656425563108
P33	aspC	1	1.53	37	aspc	mapped_TU_constrained_paper_distance	b0928	aspC	983742	984932	-	984932.0	3.0	96268.85909852675	81471.98521696842	66927.76877798549	52328.12225305174	88870.42215774758	59627.945515518615	-0.5757067507480241
P34	efeUOB	1	23.87	-8	efeu1	mapped_curated_override	b1016	efeU_1	1080579	1080689	+	1080579.0	57.0	1857.3984461289554	1331.8741898458102	3510.7005121771467	3213.1650958899922	1594.6363179873829	3361.9328040335695	1.0755880863152072
P37	fhuE	2	342.6	-19	fhue	mapped_TU_constrained_paper_distance	b1102	fhuE	1158585	1160774	-	1160774.0	115.0	1698.6112783851042	1132.8353006633245	36869.809329250544	27141.377544390685	1415.7232895242144	32005.593436820614	4.497739226771662
P42	tonB	2	2.47	-15	tonb	mapped_TU_constrained_paper_distance	b1252	tonB	1309113	1309832	+	1309113.0	50.0	12310.364555647922	10606.183862767673	50543.76243615481	39132.11722350891	11458.274209207797	44837.939829831856	1.9682364958459475
P43	acnA	1	5.17	45	acna	mapped_TU_constrained_paper_distance	b1276	acnA	1333855	1336530	+	1333855.0	362.0	43974.29881286266	39875.29192271448	58065.440827127604	57721.88653718269	41924.79536778857	57893.66368215515	0.46559222379275633
P47	yncE	3	61.3	-	ynce	mapped_TU_constrained_primary_TSS	b1452	yncE	1521331	1522392	+	1521331.0	87.5	30050.202115689626	25854.807305772305	143270.34265173104	96806.80402363426	27952.504710730966	120038.57333768265	2.102409016738638
P48	adhP	1	2.33	99	adhp	mapped_TU_constrained_paper_distance	b1478	adhP	1550852	1551862	-	1551862.0	57.0	11268.648247583773	9010.013104976983	108780.53355251341	107244.10863201022	10139.330676280377	108012.32109226182	3.413032643874388
P49	yddA-yddB	3	50.17	-	ydda+yddb	mapped_TU_constrained_primary_TSS	b1496	yddA	1575681	1577366	-	1577366.0	13.0	490.369254611795	274.21288491787567	3807.796877391568	1927.7844023022772	382.29106976483536	2867.7906398469227	2.9039303956403564
P50	yddA-yddB	2	37.13	-	ydda+yddb	mapped_TU_constrained_primary_TSS	b1496	yddA	1575681	1577366	-	1577366.0	1.0	490.369254611795	274.21288491787567	3807.796877391568	1927.7844023022772	382.29106976483536	2867.7906398469227	2.9039303956403564
P51	ynfD	2	2.5	76.5	ynfd	mapped_TU_constrained_paper_distance	b1586	ynfD	1655589	1655894	+	1655589.0	74.5	1978.129590018096	2116.569571870437	4774.067857942285	4781.983076887798	2047.3495809442666	4778.025467415042	1.222254502272101
P55	sufABCDSE	2	2.97	-37	sufa+sufb+sufc+sufd+sufs+sufe	mapped_TU_constrained_paper_distance	b1684	sufA	1762042	1762410	-	1762410.0	69.0	2193.8783481648156	2041.7518509963522	93760.40124819402	86992.1728695147	2117.815099580584	90376.28705885436	5.414630650749389
P56	ydiE	2	50.3	-16	ydie	mapped_TU_constrained_paper_distance	b1705	ydiE	1787637	1787828	+	1787637.0	26.0	253.80478200143045	263.5840182222716	612.1972302266797	475.10261643238783	258.694400111851	543.6499233295337	1.0685143227956042
P62	yebN	2	2.77	-82.5	yebn	mapped_TU_constrained_paper_distance	b1821	yebN	1903712	1904278	+	1903712.0	311.5	241.51126592996016	241.9700099697582	108.95597789206678	80.7841653481315	241.74063794985918	94.87007162009914	-1.34026323947732
P65	ftnB	1	8.6	138	ftnb	mapped_TU_constrained_paper_distance	b1902	ftnB	1984949	1985452	+	1984949.0	12.0	3048.3511823595195	3267.8124070345284	870.3649472295631	576.3336314369358	3158.0817946970237	723.3492893332494	-2.124747837813064
P66	ftnB	1	9.07	152	ftnb	mapped_TU_constrained_paper_distance	b1902	ftnB	1984949	1985452	+	1984949.0	26.0	3048.3511823595195	3267.8124070345284	870.3649472295631	576.3336314369358	3158.0817946970237	723.3492893332494	-2.124747837813064
P67	ftnA	2	3.33	-71	ftna	mapped_TU_constrained_paper_distance	b1905	ftnA	1986740	1987237	+	1986740.0	105.0	8328.146955221773	9009.300555254371	2404.949954568498	2668.696064268079	8668.723755238072	2536.8230094182886	-1.7723945678214519
P68	sdiA	2	10.73	4	sdia	mapped_TU_constrained_paper_distance	b1916	sdiA	1994134	1994856	-	1994856.0	15.0	2407.178198727577	1933.9787054515398	2422.3351349629693	2563.834300259121	2170.5784520895586	2493.084717611045	0.19976639699315712
P70	yoeA	4	72.33	-	yoea	mapped_TU_constrained_primary_TSS	b1995	yoeA	2066659	2067051	+	2066659.0	65.0	215.258976629928	141.91615308655759	438.7435601841325	385.33712459966216	178.58756485824279	412.0403423918973	1.2015952418157796
P71	yoeA	4	17.77	-	yoea	mapped_TU_constrained_primary_TSS	b1995	yoeA	2066659	2067051	+	2066659.0	27.0	215.258976629928	141.91615308655759	438.7435601841325	385.33712459966216	178.58756485824279	412.0403423918973	1.2015952418157796
P72	cirA	2	278.9	-17	cira	mapped_TU_constrained_paper_distance	b2155	cirA	2242800	2244791	-	2244791.0	177.0	10845.379060772433	8568.647930963432	125210.90037539603	68764.71408807051	9707.013495867934	96987.80723173327	3.3205702468257408
P73	cirA	2	298.23	-25	cira	mapped_TU_constrained_paper_distance	b2155	cirA	2242800	2244791	-	2244791.0	198.0	10845.379060772433	8568.647930963432	125210.90037539603	68764.71408807051	9707.013495867934	96987.80723173327	3.3205702468257408
P74	yojI	2	18.63	-28	yoji	mapped_TU_constrained_paper_distance	b2211	yojI	2304994	2306637	-	2306637.0	54.0	8978.233962459324	7010.717341619495	11626.39468517783	9980.929013124201	7994.475652039409	10803.661849151016	0.4343981537170177
P75	yojI	2	26.13	-55	yoji	mapped_TU_constrained_paper_distance	b2211	yojI	2304994	2306637	-	2306637.0	81.0	8978.233962459324	7010.717341619495	11626.39468517783	9980.929013124201	7994.475652039409	10803.661849151016	0.4343981537170177
P80	yfcV	2	4.83	-	yfcv	mapped_TU_constrained_primary_TSS	b2339	yfcV	2453105	2453668	-	2453668.0	483.0	0.0	7.244255513205031	9.555213651923031	62.77373936572726	3.6221277566025156	36.164476508825146	3.0072952447840673
P81	mntH	1	79.5	-17	mnth	mapped_TU_constrained_paper_distance	b2392	mntH	2509490	2510728	-	2510728.0	45.0	5238.2133220866435	4420.4209625002895	75688.17444988954	65192.05706773067	4829.3171422934665	70440.1157588101	3.8662279412942
P82	mntH	1	75.0	-24	mnth	mapped_TU_constrained_paper_distance	b2392	mntH	2509490	2510728	-	2510728.0	52.0	5238.2133220866435	4420.4209625002895	75688.17444988954	65192.05706773067	4829.3171422934665	70440.1157588101	3.8662279412942
P85	recN	1	4.47	80	recn	mapped_TU_constrained_paper_distance	b2616	recN	2749817	2751478	+	2749817.0	44.0	5872.578342635183	5622.789240261672	4373.412441065123	4092.952907274492	5747.683791448428	4233.182674169808	-0.44114816446054084
P86	recN	1	4.0	98.5	recn	mapped_TU_constrained_paper_distance	b2616	recN	2749817	2751478	+	2749817.0	62.5	5872.578342635183	5622.789240261672	4373.412441065123	4092.952907274492	5747.683791448428	4233.182674169808	-0.44114816446054084
P89	ygaQ_2	1	1.93	-	ygaq2	mapped_TU_constrained_primary_TSS	b4462	ygaQ_2	2784770	2785456	+	2784770.0	6.5	0.6367159718291385	21.851524826716815	32.29308317548061	46.67423391196007	11.244120399272976	39.48365854372034	1.7252505371376914
P90	nrdHIEF	3	41.1	69	nrdh+nrdi+nrde+nrdf	mapped_TU_constrained_paper_distance	b2673	nrdH	2798745	2798990	+	2798745.0	2.0	1063.6095418647365	909.8666166298417	83106.55921180104	73219.78643552172	986.7380792472891	78163.17282366139	6.306235148153757
P91	nrdHIEF	3	36.43	88	nrdh+nrdi+nrde+nrdf	mapped_TU_constrained_paper_distance	b2673	nrdH	2798745	2798990	+	2798745.0	21.0	1063.6095418647365	909.8666166298417	83106.55921180104	73219.78643552172	986.7380792472891	78163.17282366139	6.306235148153757
P95	ygfK-ssnA	1	4.07	-126.5	ygfk+ssna	mapped_TU_constrained_paper_distance	b2878	ygfK	3014082	3017180	+	3014082.0	194.5	338.6349407097434	395.94012919714055	394.2410373423058	496.8393374456343	367.287534953442	445.5401873939701	0.27795745113220854
P96	hybOABCDEFG	1	17.1	-129	hybo+hyba+hybb+hybc+hybd+hybe+hybf+hybg	mapped_TU_constrained_paper_distance	b2997	hybO	3143165	3144283	-	3144283.0	231.0	1119.6895255373797	1167.097066492171	574.5072208218722	436.3109297010556	1143.3932960147754	505.40907526146395	-1.1762077869518297
P97	exbBD	2	10.67	-61.5	exbb+exbd	mapped_TU_constrained_paper_distance	b3006	exbB	3149272	3150006	-	3150006.0	91.5	25651.425335232183	19774.264247877047	104167.70992494734	101267.13140253923	22712.844791554613	102717.42066374328	2.1770510877101388
P98	yqjH	1	150.97	-1	yqjh	mapped_TU_constrained_paper_distance	b3070	yqjH	3213749	3214513	-	3214513.0	48.0	4498.104472062789	3950.7913161565307	13961.405784266279	11125.283771698503	4224.4478941096595	12543.344777982391	1.5698609380627944
P99	yqjH	1	171.63	-20	yqjh	mapped_TU_constrained_paper_distance	b3070	yqjH	3213749	3214513	-	3214513.0	67.0	4498.104472062789	3950.7913161565307	13961.405784266279	11125.283771698503	4224.4478941096595	12543.344777982391	1.5698609380627944
P100	yhaJ	1	3.7	35	yhaj	mapped_TU_constrained_paper_distance	b3105	yhaJ	3251340	3252236	-	3252236.0	12.0	4927.348993378987	3790.823903430511	4776.633609756227	3030.146682259778	4359.086448404749	3903.3901460080024	-0.15925951858119494
P102	yrbL	1	4.27	-104	yrbl	mapped_TU_constrained_paper_distance	b3207	yrbL	3346474	3347106	+	3346474.0	135.0	31495.69430619681	28221.838105140276	91869.75182102023	90614.2271855198	29858.766205668544	91241.98950327002	1.6115108465852164
P105	ompR	1	2.9	-35	ompr	mapped_TU_constrained_paper_distance	b3405	ompR	3533887	3534606	-	3534606.0	206.0	9394.548251732223	10205.13712722516	24293.555627711183	23143.20629533659	9799.842689478692	23718.380961523886	1.275088653797101
P106	feoABC	3	25.3	-5	feoa+feob+feoc	mapped_TU_constrained_paper_distance	b3408	feoA	3538185	3538412	+	3538185.0	111.0	1811.0161364887867	1718.4324143619147	3030.3298406668123	2252.879757236656	1764.7242754253507	2641.604798951734	0.5817006080949437
P108	ryhB	3	254.23	-1.5	ryhb	mapped_TU_constrained_paper_distance	b4451	ryhB	3578950	3579039	-	3579039.0	1.5	105.93974208203282	50.05661801337575	220.56618179855664	201.55434275799337	77.99818004770428	211.060262278275	1.424582979158924
P109	ryhB	3	273.93	-21	ryhb	mapped_TU_constrained_paper_distance	b4451	ryhB	3578950	3579039	-	3579039.0	21.0	105.93974208203282	50.05661801337575	220.56618179855664	201.55434275799337	77.99818004770428	211.060262278275	1.424582979158924
P111	yhhK	1	5.23	-5.5	yhhk	mapped_TU_constrained_paper_distance	b3459	yhhK	3596007	3596390	+	3596007.0	161.5	994.7952387555102	1025.2402925491645	1192.1456143781193	1185.487322953213	1010.0177656523374	1188.816468665666	0.23493070381549014
P117	emrD	1	4.6	-7	emrd	mapped_TU_constrained_paper_distance	b3673	emrD	3851945	3853129	+	3851945.0	84.0	48.83121722412701	46.850144261629254	271.6600325762006	234.3744028373348	47.840680742878135	253.0172177067677	2.378771074660582
P118	rmuC	1	2.3	-	rmuc	mapped_TU_constrained_primary_TSS	b3832	rmuC	4015356	4016783	+	4015356.0	14.0	2056.690545311476	1770.329785825367	2822.194284035804	2633.200715448646	1913.5101655684216	2727.697499742225	0.5112371474112297
P123	sodA	3	68.73	-53	soda	mapped_TU_constrained_paper_distance	b3908	sodA	4098833	4099453	+	4098833.0	104.0	137493.083672756	133290.56055692886	173377.5822301338	137225.63958510093	135391.82211484242	155301.61090761737	0.19793082805467943
P124	sodA	3	64.13	-46	soda	mapped_TU_constrained_paper_distance	b3908	sodA	4098833	4099453	+	4098833.0	97.0	137493.083672756	133290.56055692886	173377.5822301338	137225.63958510093	135391.82211484242	155301.61090761737	0.19793082805467943
P125	cdh	1	1.73	-61.5	cdh	mapped_TU_constrained_paper_distance	b3918	cdh	4107953	4108708	+	4107953.0	84.5	1861.414654566647	1717.1260732037958	732.8318025822081	450.54728763940165	1789.2703638852213	591.6895451108048	-1.5948289634576787
P126	zapB	1	2.93	148	zapb	mapped_TU_constrained_paper_distance	b3928	zapB	4116538	4116783	+	4116538.0	19.0	20261.42872109181	17867.659327602454	10516.220417545142	6734.800538115221	19064.54402434713	8625.510477830181	-1.1441187022543768
P127	yjbJ	1	2.87	-	yjbj	mapped_TU_constrained_primary_TSS	b4045	yjbJ	4257260	4257469	+	4257260.0	26.5	807.0130052175936	758.9248337235533	15482.631187332618	12648.526298088314	782.9689194705734	14065.578742710466	4.165331210687083
P133	fecABCDE	2	8.2	-12.5	feca+fecb+fecc+fecd+fece	mapped_TU_constrained_paper_distance	b4291	fecA	4512376	4514700	-	4514700.0	62.5	2835.8349822236246	2395.4734091288306	33887.034371342146	29312.51767601489	2615.6541956762276	31599.776023678518	3.5941648047372823
P134	fecIR	2	35.57	0	feci+fecr	mapped_TU_constrained_paper_distance	b4293	fecI	4515737	4516258	-	4516258.0	47.0	3800.018876179657	3234.4413283589447	51256.023987125234	48178.08059498422	3517.230102269301	49717.05229105473	3.8208480324229668
P135	fecIR	2	30.07	-19	feci+fecr	mapped_TU_constrained_paper_distance	b4293	fecI	4515737	4516258	-	4516258.0	66.0	3800.018876179657	3234.4413283589447	51256.023987125234	48178.08059498422	3517.230102269301	49717.05229105473	3.8208480324229668
P137	yjhIH	1	4.53	-	yjhi+yjhh	mapped_TU_constrained_primary_TSS	b4299	yjhI	4523038	4523826	-	4523826.0	147.5	114.90274383931992	169.88372969901306	96.48111562427839	127.60171829973935	142.3932367691665	112.04141696200887	-0.3431255251141604
P138	uxuAB	1	1.53	-19	uxua+uxub	mapped_TU_constrained_paper_distance	b4322	uxuA	4549659	4550843	+	4549659.0	137.0	2743.7560570667956	2624.4393866609503	1887.3758817560006	1657.7235585926453	2684.0977218638727	1772.5497201743228	-0.5983348190892775
P139	yjiT	1	51.0	-170	yjit	mapped_TU_constrained_paper_distance	b4342	yjiT	4570437	4571954	+	4570437.0	222.0	9501.320622392801	8913.225100989079	2115.019999593019	1976.0829186635785	9207.27286169094	2045.5514591282986	-2.169735641568555
P140	yjiT	1	41.3	-150	yjit	mapped_TU_constrained_paper_distance	b4342	yjiT	4570437	4571954	+	4570437.0	202.0	9501.320622392801	8913.225100989079	2115.019999593019	1976.0829186635785	9207.27286169094	2045.5514591282986	-2.169735641568555
P141	fhuF	4	254.4	-6	fhuf	mapped_TU_constrained_paper_distance	b4367	fhuF	4602898	4603686	-	4603686.0	37.0	34544.241401163046	25155.914786178673	127240.05616342247	122651.95640043722	29850.07809367086	124946.00628192985	2.065461393468827
P142	fhuF	4	54.7	-51	fhuf	mapped_TU_constrained_paper_distance	b4367	fhuF	4602898	4603686	-	4603686.0	82.0	34544.241401163046	25155.914786178673	127240.05616342247	122651.95640043722	29850.07809367086	124946.00628192985	2.065461393468827
P143	yjjZ	4	76.27	-13.5	yjjz	mapped_TU_constrained_paper_distance	b4567	yjjZ	4603827	4604063	+	4603827.0	40.5	134.73889526938154	16.21050618938503	67441.22880047564	73520.70864576884	75.47470072938329	70480.96872312223	9.848055951211213
P144	yjjZ	3	64.43	11	yjjz	mapped_TU_constrained_paper_distance	b4567	yjjZ	4603827	4604063	+	4603827.0	16.0	134.73889526938154	16.21050618938503	67441.22880047564	73520.70864576884	75.47470072938329	70480.96872312223	9.848055951211213
